Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.7,0.79,0.57,0.68,0.71,0.73,0.65,0.69,0.7,0.76,0.61,0.68,0.71
3,0.73,0.81,0.62,0.71,0.74,0.77,0.67,0.72,0.73,0.79,0.64,0.72,0.74
5,0.78,0.84,0.68,0.76,0.78,0.82,0.71,0.76,0.78,0.83,0.7,0.76,0.78
7,0.77,0.83,0.67,0.75,0.78,0.81,0.71,0.76,0.77,0.82,0.69,0.76,0.77
9,0.78,0.85,0.67,0.76,0.79,0.8,0.75,0.77,0.78,0.82,0.71,0.76,0.78
11,0.79,0.86,0.68,0.77,0.79,0.8,0.76,0.78,0.79,0.83,0.72,0.77,0.79
13,0.77,0.85,0.66,0.75,0.78,0.79,0.75,0.77,0.77,0.82,0.7,0.76,0.78
15,0.79,0.86,0.68,0.77,0.79,0.8,0.76,0.78,0.79,0.83,0.72,0.77,0.79
17,0.78,0.86,0.67,0.76,0.79,0.79,0.76,0.78,0.78,0.82,0.71,0.77,0.78
19,0.77,0.82,0.67,0.75,0.77,0.81,0.69,0.75,0.77,0.82,0.68,0.75,0.77
