Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.66,0.74,0.53,0.63,0.66,0.74,0.53,0.63,0.66,0.74,0.53,0.63,0.66
3,0.68,0.75,0.56,0.65,0.68,0.77,0.53,0.65,0.68,0.76,0.54,0.65,0.68
5,0.69,0.75,0.58,0.66,0.69,0.8,0.51,0.65,0.69,0.77,0.54,0.66,0.69
7,0.75,0.77,0.7,0.74,0.75,0.87,0.55,0.71,0.75,0.82,0.61,0.72,0.75
9,0.76,0.78,0.71,0.75,0.75,0.88,0.55,0.71,0.76,0.82,0.62,0.72,0.75
11,0.78,0.8,0.73,0.77,0.78,0.88,0.6,0.74,0.78,0.84,0.66,0.75,0.77
13,0.77,0.79,0.74,0.76,0.77,0.89,0.56,0.73,0.77,0.83,0.64,0.74,0.76
15,0.8,0.8,0.79,0.79,0.8,0.91,0.6,0.75,0.8,0.85,0.68,0.77,0.79
17,0.81,0.81,0.8,0.81,0.81,0.92,0.6,0.76,0.81,0.86,0.69,0.77,0.8
19,0.81,0.81,0.82,0.82,0.81,0.93,0.6,0.76,0.81,0.86,0.69,0.78,0.8
