Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.68,0.76,0.54,0.65,0.68,0.72,0.6,0.66,0.68,0.74,0.57,0.65,0.68
3,0.72,0.81,0.59,0.7,0.73,0.74,0.69,0.71,0.72,0.77,0.64,0.71,0.72
5,0.74,0.82,0.62,0.72,0.75,0.76,0.71,0.73,0.74,0.79,0.66,0.73,0.74
7,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74
9,0.73,0.8,0.62,0.71,0.74,0.78,0.65,0.72,0.73,0.79,0.64,0.71,0.73
11,0.72,0.79,0.61,0.7,0.72,0.78,0.62,0.7,0.72,0.78,0.61,0.7,0.72
13,0.75,0.8,0.65,0.72,0.75,0.81,0.64,0.72,0.75,0.8,0.64,0.72,0.75
15,0.75,0.8,0.66,0.73,0.75,0.82,0.64,0.73,0.75,0.81,0.65,0.73,0.75
17,0.75,0.8,0.66,0.73,0.75,0.82,0.64,0.73,0.75,0.81,0.65,0.73,0.75
19,0.77,0.81,0.69,0.75,0.76,0.84,0.64,0.74,0.77,0.82,0.66,0.74,0.76
