Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.68,0.76,0.55,0.66,0.69,0.74,0.58,0.66,0.68,0.75,0.57,0.66,0.68
3,0.72,0.8,0.6,0.7,0.73,0.75,0.67,0.71,0.72,0.77,0.63,0.7,0.72
5,0.77,0.82,0.67,0.75,0.77,0.81,0.69,0.75,0.77,0.82,0.68,0.75,0.77
7,0.75,0.81,0.64,0.73,0.75,0.79,0.67,0.73,0.75,0.8,0.65,0.73,0.75
9,0.74,0.8,0.63,0.72,0.74,0.79,0.65,0.72,0.74,0.8,0.64,0.72,0.74
11,0.75,0.8,0.66,0.73,0.75,0.82,0.64,0.73,0.75,0.81,0.65,0.73,0.75
13,0.79,0.83,0.72,0.77,0.79,0.85,0.69,0.77,0.79,0.84,0.7,0.77,0.79
15,0.77,0.81,0.69,0.75,0.77,0.84,0.65,0.75,0.77,0.83,0.67,0.75,0.77
17,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74
19,0.75,0.8,0.65,0.72,0.75,0.81,0.64,0.72,0.75,0.8,0.64,0.72,0.75
