Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.75,0.8,0.65,0.72,0.75,0.81,0.64,0.72,0.75,0.8,0.64,0.72,0.75
3,0.73,0.81,0.61,0.71,0.74,0.76,0.67,0.72,0.73,0.78,0.64,0.71,0.73
5,0.75,0.82,0.64,0.73,0.76,0.79,0.69,0.74,0.75,0.8,0.67,0.74,0.76
7,0.75,0.81,0.64,0.72,0.75,0.8,0.65,0.73,0.75,0.8,0.65,0.73,0.75
9,0.7,0.77,0.58,0.67,0.7,0.77,0.58,0.67,0.7,0.77,0.58,0.67,0.7
11,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74
13,0.73,0.78,0.63,0.71,0.73,0.81,0.6,0.7,0.73,0.8,0.62,0.71,0.73
15,0.73,0.79,0.63,0.71,0.73,0.8,0.62,0.71,0.73,0.79,0.62,0.71,0.73
17,0.75,0.8,0.66,0.73,0.75,0.82,0.64,0.73,0.75,0.81,0.65,0.73,0.75
19,0.75,0.79,0.65,0.72,0.74,0.82,0.62,0.72,0.75,0.81,0.64,0.72,0.75
