Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.56,0.65,0.38,0.52,0.56,0.69,0.35,0.52,0.56,0.67,0.36,0.52,0.56
3,0.58,0.66,0.4,0.53,0.57,0.72,0.35,0.53,0.58,0.69,0.37,0.53,0.58
5,0.62,0.68,0.46,0.57,0.6,0.79,0.33,0.56,0.62,0.73,0.38,0.56,0.61
7,0.64,0.69,0.49,0.59,0.62,0.78,0.38,0.58,0.64,0.73,0.43,0.58,0.62
9,0.65,0.7,0.51,0.61,0.63,0.8,0.38,0.59,0.65,0.75,0.44,0.59,0.64
11,0.66,0.71,0.54,0.62,0.65,0.81,0.4,0.6,0.66,0.75,0.46,0.61,0.65
13,0.67,0.7,0.56,0.63,0.65,0.84,0.36,0.6,0.67,0.76,0.44,0.6,0.65
15,0.68,0.71,0.57,0.64,0.66,0.85,0.36,0.61,0.68,0.77,0.44,0.61,0.65
17,0.68,0.71,0.57,0.64,0.66,0.85,0.36,0.61,0.68,0.77,0.44,0.61,0.65
19,0.68,0.71,0.57,0.64,0.66,0.85,0.36,0.61,0.68,0.77,0.44,0.61,0.65
